iter	Logloss
145	0.139694352
146	0.139493017
147	0.1394495995
148	0.1393967563
149	0.1391976913
150	0.1390089699
151	0.1386097838
152	0.1385263737
153	0.1380039131
154	0.1376603535
155	0.1376180316
156	0.1374147719
157	0.1373774836
158	0.1373385766
159	0.1372947841
160	0.1372685994
161	0.1372286561
162	0.1371828797
163	0.136964075
164	0.1369406144
165	0.1369104225
166	0.1368858071
167	0.136706689
168	0.1364054119
169	0.1363708772
170	0.1363452354
171	0.1360433759
172	0.1360242481
173	0.1359937503
174	0.1357500834
175	0.1357239875
176	0.1352644473
177	0.1352308898
178	0.1351948451
179	0.1349848146
180	0.1349593307
181	0.1348356911
182	0.1348064566
183	0.1346115369
184	0.1345683366
185	0.1345443824
186	0.1343497391
187	0.1343202381
188	0.1343019295
189	0.1340312292
190	0.1340013235
191	0.1339650715
192	0.1339325504
193	0.1338999009
194	0.1338581515
195	0.1338339605
196	0.1338065321
197	0.1337752052
198	0.1337432072
199	0.1337035106
200	0.1334792775
201	0.1334129817
202	0.1333831945
203	0.1333526374
204	0.1333217646
205	0.1332882367
206	0.1332570578
207	0.1332281786
208	0.1332091693
209	0.1330466326
210	0.133022333
211	0.1329908087
212	0.1329678317
213	0.1329373734
214	0.1329093331
215	0.132887047
216	0.1328607537
217	0.1328477156
218	0.1328279562
219	0.1328043672
220	0.1327776298
221	0.1327410916
222	0.1326087665
223	0.1325769461
224	0.1325374273
225	0.1325103839
226	0.1324855513
227	0.1324612715
228	0.1324376628
229	0.1324046482
230	0.1323743773
231	0.132340504
232	0.1323109142
233	0.1322903652
234	0.1322611899
235	0.1322243753
236	0.1321979834
237	0.1321607938
238	0.1321392281
239	0.1321166755
240	0.1320808677
241	0.1320499159
242	0.1320238989
243	0.1319952961
244	0.1319726349
245	0.1319489473
246	0.1319098627
247	0.1318832042
248	0.1318629217
249	0.1318353552
250	0.1318093679
251	0.1317687633
252	0.1317301722
253	0.1317080835
254	0.1316814941
255	0.1316602838
256	0.1316333095
257	0.131607105
258	0.1315786996
259	0.1315558509
260	0.1315361704
261	0.1315101239
262	0.1314807808
263	0.131457182
264	0.1314250359
265	0.1314059673
266	0.1310894708
267	0.1310751793
268	0.1310479977
269	0.1310266097
270	0.1308297556
271	0.130740394
272	0.1307181769
273	0.130695575
274	0.1306666859
275	0.1306429884
276	0.1306165668
277	0.1305870066
278	0.1305651745
279	0.1305430068
280	0.1305230697
281	0.1304896603
282	0.1304692593
283	0.1304318526
284	0.1304037432
285	0.1303728802
286	0.1303517094
287	0.130322544
288	0.1302959546
289	0.1302717044
290	0.1302490432
291	0.1302129886
292	0.1301825796
293	0.130161162
294	0.1301303484
295	0.130105881
296	0.1300799035
297	0.1300585353
298	0.1300341864
299	0.1300031655
300	0.1299711082
301	0.1299476081
302	0.1299285691
303	0.1298954854
304	0.129866547
305	0.1298316571
306	0.1295087452
307	0.1294757009
308	0.1294424099
309	0.1294227195
310	0.1293976797
311	0.1293774663
312	0.1293552098
313	0.129335628
314	0.1293086438
315	0.1292883317
316	0.12926343
317	0.1292312247
318	0.1292041714
319	0.1288911689
320	0.128857335
321	0.1288391942
322	0.1288171549
323	0.1287850976
324	0.1287626239
325	0.1287332118
326	0.1284756482
327	0.1284496904
328	0.1284229037
329	0.1283861187
330	0.1283574073
331	0.1283326932
332	0.1283005866
333	0.1282782215
334	0.1282478224
335	0.1282276583
336	0.128192946
337	0.1280457372
338	0.128020194
339	0.1279904167
340	0.1279579251
341	0.127927526
342	0.1278948568
343	0.1278713468
344	0.1278448857
345	0.1278191452
346	0.1277906213
347	0.1277662921
348	0.1277341263
349	0.1277080699
350	0.127680987
351	0.127647844
352	0.1276147011
353	0.1275821898
354	0.1275540607
355	0.1275187859
356	0.1274934105
357	0.1274640477
358	0.1274370043
359	0.1274095661
360	0.1273826609
361	0.1273497153
362	0.1273245077
363	0.1272950561
364	0.1272671442
365	0.1269511708
366	0.1269140404
367	0.1268932347
368	0.1268663098
369	0.1268434808
370	0.1268122033
371	0.1267824555
372	0.1267545436
373	0.1265279812
374	0.1265072249
375	0.1263264487
376	0.1262910159
377	0.1262596496
378	0.1262301486
379	0.1261994632
380	0.126165807
381	0.1261311441
382	0.126102186
383	0.126074807
384	0.1260357224
385	0.1260037638
386	0.1259717855
387	0.1259435182
388	0.1259113228
389	0.1258759098
390	0.125841997
391	0.1258172829
392	0.1257809519
393	0.1255393577
394	0.1255047442
395	0.1254607838
396	0.1254285292
397	0.1253958501
398	0.1253620755
399	0.1253290411
400	0.1252991354
401	0.1252693384
402	0.125236758
403	0.1252064181
404	0.1251770849
405	0.1251445341
406	0.1251148258
407	0.1250851867
408	0.1250501882
409	0.1249595534
410	0.1249277823
411	0.1248986959
412	0.1248678822
413	0.1248364171
414	0.1248045177
415	0.1247757965
416	0.1247462264
417	0.1247190744
418	0.1244640967
419	0.1244348918
420	0.1244069108
421	0.1243745081
422	0.1243440497
423	0.124310512
424	0.124281317
425	0.1242513126
426	0.1242203608
427	0.1241932187
428	0.1241613785
429	0.1241331705
430	0.1241025641
431	0.1240706154
432	0.1240412822
433	0.1240109423
434	0.1239817078
435	0.1239513975
436	0.1239215708
437	0.1238935305
438	0.1238579793
439	0.1238288534
440	0.1238007737
441	0.1237703745
442	0.1237432423
443	0.1237146
444	0.1234688506
445	0.12344084
446	0.1234067495
447	0.1230802844
448	0.1230503492
449	0.1230221412
450	0.1229932225
451	0.1229650737
452	0.1229263839
453	0.1228984127
454	0.1228705699
455	0.1228377921
456	0.1228069389
457	0.1227789579
458	0.1224719858
459	0.1224437087
460	0.1224076146
461	0.1223765147
462	0.1223475369
463	0.122320227
464	0.122292473
465	0.1222645512
466	0.1222233544
467	0.1221966663
468	0.1218902272
469	0.1218630062
470	0.1218370485
471	0.1218089292
472	0.1217825767
473	0.1217368695
474	0.1217101913
475	0.1216820721
476	0.1216563512
477	0.1216300579
478	0.1216030935
479	0.121575833
480	0.1215495693
481	0.121524036
482	0.1214969531
483	0.1212265982
484	0.1212000088
485	0.1210958325
486	0.1210702203
487	0.1210364753
488	0.1210106853
489	0.1207667322
490	0.1203597391
491	0.1203337518
492	0.1203084257
493	0.120283534
494	0.1202567472
495	0.1199700478
496	0.119945077
497	0.1199038013
498	0.1198785839
499	0.1198491618
500	0.1198127223
501	0.1197879786
502	0.1197621295
503	0.1196780581
504	0.1196522781
505	0.119628018
506	0.1194021464
507	0.1191426483
508	0.1191151608
509	0.1190890748
510	0.1190646765
511	0.1188902466
512	0.1188589987
513	0.1186084821
514	0.1183375547
515	0.1183135907
516	0.1182871001
517	0.1182616951
518	0.1179820032
519	0.1179577629
520	0.1179311439
521	0.1176731953
522	0.1176484911
523	0.1176246554
524	0.1174409775
525	0.1174171912
526	0.1173926251
527	0.1173687302
528	0.1173283132
529	0.1173035102
530	0.1172798028
531	0.1172554835
532	0.117219577
533	0.1171962249
534	0.1171698724
535	0.1171452965
536	0.1171211845
537	0.1170817149
538	0.1170580273
539	0.1170349417
540	0.1167139446
541	0.116689645
542	0.1166656415
543	0.1166050505
544	0.1165796159
545	0.1165567573
546	0.1163660126
547	0.1163280531
548	0.1162853364
549	0.1159252448
550	0.1159021987
551	0.115868355
552	0.1156016321
553	0.1155789512
554	0.1155555695
555	0.1155322964
556	0.1155094379
557	0.1154629213
558	0.115440418
559	0.1154011952
560	0.1153742505
561	0.1153367254
562	0.1153126528
563	0.1152893106
564	0.115266985
565	0.1150083949
566	0.1148695656
567	0.1148468945
568	0.1148245295
569	0.1148015031
570	0.1147794341
571	0.1147567532
572	0.1147348224
573	0.114710582
574	0.1146637496
575	0.1144833188
576	0.1144610426
577	0.1144233496
578	0.1140560925
579	0.113840229
580	0.1136402066
581	0.1136183449
582	0.1135919134
583	0.1134439051
584	0.1134116702
585	0.1133896604
586	0.1133674533
587	0.1133437656
588	0.1133027268
589	0.1132811414
590	0.1132574044
591	0.1132355723
592	0.1132140561
593	0.1131705695
594	0.1131490927
595	0.1131133836
596	0.1130917291
597	0.113069897
598	0.1130486571
599	0.1130096416
600	0.1129882043
601	0.1129628684
602	0.1128451309
603	0.1128239206
604	0.1126166735
605	0.112595473
606	0.1125743219
607	0.1123966942
608	0.1123717038
609	0.1123401005
610	0.1122595724
611	0.1122371481
612	0.1120154515
613	0.1119944781
614	0.1119735738
615	0.1119526102
616	0.1119320316
617	0.1118958487
618	0.1118750332
619	0.1118545236
620	0.1118338956
621	0.1118115996
622	0.1116354327
623	0.1116148047
624	0.1114412828
625	0.1114209509
626	0.1113047137
627	0.1112842634
628	0.1112639512
629	0.1112269985
630	0.1112068245
631	0.1111866506
632	0.1111665753
633	0.111134972
634	0.1110997761
635	0.1110796811
636	0.110835501
637	0.1108155837
638	0.1107767951
639	0.1107568975
640	0.1107168457
641	0.1106968691
642	0.1106591367
643	0.1106276617
644	0.1106079812
645	0.110588202
646	0.1103097439
647	0.1102901622
648	0.1102705804
649	0.1102505939
650	0.1102089234
651	0.1101894996
652	0.1101699671
653	0.1101466644
654	0.1099577357
655	0.109938075
656	0.1099186906
657	0.1098994641
658	0.1098803067
659	0.1098607151
660	0.1098414689
661	0.1098152842
662	0.1097669614
663	0.1097370459
664	0.1097177898
665	0.1095834118
666	0.1095645604
667	0.109545403
668	0.1095238077
669	0.1095048576
670	0.1094860753
671	0.1094484514
672	0.1093559709
673	0.1093164718
674	0.1092421716
675	0.1092197374
676	0.1091973526
677	0.1091678516
678	0.10914901
679	0.1089867596
680	0.108791603
681	0.1085165796
682	0.1084977874
683	0.1082471031
684	0.1082283405
685	0.1082080974
686	0.1081894928
687	0.1081709276
688	0.1081509214
689	0.1081323957
690	0.1081139094
691	0.108095512
692	0.1080630008
693	0.1080432018
694	0.108021498
695	0.1080032586
696	0.107809691
697	0.1077914318
698	0.1077733206
699	0.10749354
700	0.1074753104
701	0.1074401145
702	0.1074078401
703	0.1073896598
704	0.1073701274
705	0.1073519372
706	0.1073172743
707	0.1072980676
708	0.1072674217
709	0.1072497251
710	0.1072316928
711	0.1071998034
712	0.1071820278
713	0.1069684738
714	0.1069506883
715	0.1069227369
716	0.1068869094
717	0.1067170887
718	0.1066964311
719	0.1066783989
720	0.106660495
721	0.1066430155
722	0.1066252399
723	0.1065369245
724	0.1065193166
725	0.1065017483
726	0.1064838049
727	0.1064649436
728	0.1064331528
729	0.106415545
730	0.1063291345
731	0.1063082795
732	0.1062878588
733	0.1062673394
734	0.1062324593
735	0.1062065509
736	0.1061892096
737	0.1061589684
738	0.1061415284
739	0.1061241081
740	0.1059449308
741	0.1059275303
742	0.1059011482
743	0.1058653502
744	0.1058478411
745	0.1058307268
746	0.1057975838
747	0.1056258583
748	0.1056076681
749	0.1055907907
750	0.1055589703
751	0.1055416981
752	0.1054298134
753	0.105413015
754	0.105396098
755	0.1053660345
756	0.1053489695
757	0.1053258938
758	0.105260733
759	0.1052429278
760	0.1050475048
761	0.1050307852
762	0.1048720879
763	0.1048552993
764	0.1048258871
765	0.1047938299
766	0.1047650889
767	0.1047485075
768	0.1045834145
769	0.1045668036
770	0.1045490971
771	0.1045325749
772	0.1045159541
773	0.1044994912
774	0.1044829789
775	0.1044577319
776	0.1044411406
777	0.1044109586
778	0.1043945845
779	0.1043772432
780	0.1043607704
781	0.1043435377
782	0.1043264332
783	0.1043101875
784	0.1042166805
785	0.1042006716
786	0.1041845344
787	0.1041326683
788	0.1041166002
789	0.1041006703
790	0.1040696987
791	0.1040535516
792	0.104025541
793	0.1039954478
794	0.1039794882
795	0.1039626108
796	0.1039321919
797	0.1037647992
798	0.1037489581
799	0.1037329986
800	0.103717266
801	0.1037006255
802	0.1036846265
803	0.1036642847
804	0.1034592188
805	0.1034427855
806	0.1034271813
807	0.1031527896
808	0.103137057
809	0.1031214034
810	0.1030950016
811	0.103079348
812	0.1030630726
813	0.1030384473
814	0.1029186668
815	0.1029024112
816	0.1028702355
817	0.1028546214
818	0.102836066
819	0.1028205309
820	0.1028026369
821	0.1027730569
822	0.102757581
823	0.102742184
824	0.1027261653
825	0.1026638174
826	0.1026479467
827	0.1026322734
828	0.1024772772
829	0.1024618605
830	0.1024465524
831	0.1022935993
832	0.1022784392
833	0.1022628547
834	0.1022263659
835	0.1021955325
836	0.1021776878
837	0.1021494896
838	0.1021344973
839	0.1021192188
840	0.1021041179
841	0.1020772127
842	0.1020254651
843	0.1020084199
844	0.1019914141
845	0.1019764415
846	0.1019615874
847	0.1019466938
848	0.1019198083
849	0.1019050529
850	0.1018817107
851	0.1018665309
852	0.1016476176
853	0.1016326352
854	0.1016166855
855	0.1016018906
856	0.1015873325
857	0.1015600621
858	0.1015450698
859	0.1015175132
860	0.1015026097
861	0.1012926583
862	0.1012779127
863	0.1010766369
864	0.1010618321
865	0.1010473135
866	0.1010197767
867	0.1009924964
868	0.1009779877
869	0.1009630744
870	0.1009487039
871	0.1009336918
872	0.1008805131
873	0.1008658859
874	0.1008513674
875	0.1006775396
876	0.100663327
877	0.100648384
878	0.100634053
879	0.1006192581
880	0.1006049962
881	0.1005905763
882	0.1005763341
883	0.1005493796
884	0.1005224744
885	0.1004984709
886	0.1004841892
887	0.1003795589
888	0.1003563746
889	0.1003409678
890	0.1003268243
891	0.1003038374
892	0.1002857657
893	0.1001374614
894	0.1001233179
895	0.1000069918
896	0.09998433063
897	0.099970197
898	0.09981890206
899	0.09980488687
900	0.09979081246
901	0.09956214776
902	0.09954668171
903	0.09950528756
904	0.09949127237
905	0.09932850866
906	0.0991626853
907	0.09914868985
908	0.09913453649
909	0.09910888474
910	0.0990950176
911	0.09908111099
912	0.0990632959
913	0.09904943863
914	0.09903565045
915	0.09902199058
916	0.09882495875
917	0.09879959324
918	0.09878566688
919	0.09876289713
920	0.09874913856
921	0.09857707745
922	0.09856163114
923	0.09853884165
924	0.09851259772
925	0.09849875032
926	0.09845495779
927	0.09844111039
928	0.09842034423
929	0.09840669422
930	0.09838657947
931	0.09837311699
932	0.09835957556
933	0.09833630245
934	0.09832254388
935	0.09830195537
936	0.09823513648
937	0.09808512462
938	0.0980715437
939	0.09805805162
940	0.0979350338
941	0.09792155158
942	0.09790818781
943	0.09789487338
944	0.09776151196
945	0.09774827649
946	0.09773293874
947	0.09771972301
948	0.09770633949
949	0.09768832701
950	0.09766493547
951	0.09765169013
952	0.09763862245
953	0.09762541659
954	0.09761017754
955	0.09759705064
956	0.09758319337
957	0.09756816158
958	0.09754389162
959	0.09753091277
960	0.09751090658
961	0.09748838358
962	0.09747529616
963	0.09746238639
964	0.09743887641
965	0.09742592717
966	0.09741292857
967	0.09738871783
968	0.0973758278
969	0.09723076074
970	0.09720446746
971	0.09718026658
972	0.09716753448
973	0.09711413858
974	0.09710109064
975	0.09708826971
976	0.09697894137
977	0.09696014918
978	0.09694728876
979	0.09693448756
980	0.09682305695
981	0.09662871959
982	0.09661601709
983	0.09659152012
984	0.09657713975
985	0.09656459517
986	0.09654388823
987	0.09652023019
988	0.09650764613
989	0.09649356186
990	0.09647968485
991	0.09642148234
992	0.09624928305
993	0.0962266811
994	0.09621359367
995	0.09620105896
996	0.09617925646
997	0.09616613943
998	0.09615370342
999	0.09614127728
